"","Coef25","sig25","rn","Coef50","sig50","Coef75","sig75"
"(Intercept)",-0.299475373786369,"","(Intercept)",-0.122340679054406,"",-0.0583740921320419,""
"f_ccity9000b",0.0655568063843747,"","f_ccity9000b",0.102781171563849,"",0.108186576795192,""
"f_ccity0010b",0.0916257013113498,"","f_ccity0010b",0.0907370467937689,"",0.157756259972816,"***"
"f_pden9000b",-0.027937297713641,"","f_pden9000b",-0.126066930213949,"",-0.40650570242614,"***"
"f_pden0010b",-0.25290418893104,"***","f_pden0010b",-0.292772859563664,"***",-0.549396327097215,"***"
"f_pt9000b",0.0393257743864866,"","f_pt9000b",-0.0862191892666209,"",-0.741989268595854,""
"f_pt0010b",-1.84514234023593,"**","f_pt0010b",-1.81923235208109,"**",-2.81845021887538,"***"
"lncden9000b",-0.00875840191653636,"","lncden9000b",-0.00937479517064925,"",-0.0259942179597295,""
"lncden0010b",-0.0865384653148269,"**","lncden0010b",-0.0562080256420347,"**",-0.0477114308398091,"*"
"lnpop100",0.0125055950801352,"","lnpop100",0.0343505960562762,"",0.109409997965808,"***"
"pctyoungbg",0.0707332520342594,"***","pctyoungbg",0.108566049773047,"***",0.163760852616518,"***"
"pctnhw",0.0618280238418712,"**","pctnhw",0.105467663246616,"***",0.114078977086793,"***"
"pctforeign",-0.0275613524477981,"","pctforeign",0.00480452688684376,"",-0.00439135150572534,""
"pctmulti",-0.198829877817271,"***","pctmulti",-0.13550720306653,"***",-0.0864615982479779,"***"
"yr0010",-0.435030130584862,"","yr0010",-0.413269140496898,"",-0.520260001891281,""
"WY",0.0775679043847181,"","WY",0.168540005840084,"***",-0.0053478901118208,""
