"","25","sig25","50","sig50","75","sig75"
"cc8090_5",-0.100444622906654,"***",-0.0500339625459989,"***",-0.00930159018661287,""
"cc9000_5",-0.117809566296225,"***",-0.0865766525648184,"***",-0.0330257107229572,"**"
"cc0010_5",-0.137907624965484,"***",-0.0714150741018467,"***",0.00829788595128307,""
"lnpden8090",-0.102911808062213,"***",-0.187281873666039,"***",-0.334492250332545,"***"
"lnpden9000",-0.0776437038109144,"***",-0.117827414510316,"***",-0.218944560844589,"***"
"lnpden0010",-0.168413700902675,"***",-0.200251786494909,"***",-0.327312047540662,"***"
"One_Transit8090",0.00370063366817021,"",0.0103193784650782,"***",0.022536302152282,"***"
"One_Transit9000",-0.00567632404489147,"**",0.001094903634684,"",0.0111747478454718,"**"
"One_Transit0010",0.00175228286552816,"",0.00557226422788641,"**",0.0255339128298249,"***"
